motif	motif_importance__healthy_OPC	motif_importance__healthy_oligodendrocyte	score_raw__healthy_OPC	score_raw__healthy_oligodendrocyte	score_legacy__healthy_OPC	score_legacy__healthy_oligodendrocyte
PRDM1	0.0031848980835804293	0.003487095349160115	0.0	0.0	0.0	0.0
PRDM14	0.0024236097243036867	0.003758496389426677	0.0	0.0	0.0	0.0
PRDM16	0.005514272877574199	0.009407664722292163	0.0	0.0	0.0	0.0
PRDM4	0.001942751361263867	0.0026033656111778443	0.0	0.0	0.0	0.0
PRDM5	0.0038675926831425135	0.005327704694271217	0.0	0.0	0.0	0.0
PRDM9	0.0025904456094440337	0.004558806366287792	0.0	0.0	0.0	0.0
PROX1	0.001227471345656588	0.0015864956192226877	0.0	0.0	0.0	0.0
RBPJ	0.005313750360560617	0.006844206616666642	0.0	0.0	0.0	0.0
REL-halfsite	0.005179127518623101	0.0047985087396228265	0.0	0.0	0.0	0.0
REST/NRSF	0.0010763235619794423	0.0015754740713684687	0.0	0.0	0.0	0.0
RFX/1	0.005415629110577187	0.007333496331241132	0.0	0.0	0.0	0.0
RFX/2	0.002424062657191829	0.002351833333412195	0.0	0.0	0.0	0.0
RFX/3	0.004177751993474003	0.008781483165921835	0.0	0.0	0.0	0.0
RUNX/1	0.0025804240626640974	0.004178180724617949	0.0	0.0	0.0	0.0
RUNX/2	0.0020374652225707474	0.002711115423644538	0.0	0.0	0.0	0.0
SCRT1	0.0017589102055987561	0.0020845066072724613	0.0	0.0	0.0	0.0
SIX/1	0.00412652649034774	0.004566095603502695	0.0	0.0	0.0	0.0
SIX/2	0.0024227641212376553	0.0017156100883300293	0.0	0.0	0.0	0.0
SMAD	0.006798966957330075	0.0089227719496844	0.0	0.0	0.0	0.0
SMARCA1	0.004403739482770587	0.0056536039511825955	0.0	0.0	0.0	0.0
SMARCA5	0.00018163097689405944	0.00026634393502616364	0.0	0.0	0.0	0.0
SNAI2	0.0068451932214043	0.008481898132178185	0.0	0.0	0.0	0.0
SOX/1	0.011511382233104446	0.014328644509571426	0.0	0.0	0.0	0.0
SOX/2	0.0024205924045557843	0.0010572461721701904	0.0	0.0	0.0	0.0
SOX/3	0.0022777071991292087	0.0036074205000137267	0.0	0.0	0.0	0.0
SOX/4	0.001669102489416013	0.0018466163737349748	0.0	0.0	0.0	0.0
SOX/5	0.0009957858933207623	0.0010483601984439107	0.0	0.0	0.0	0.0
SOX/6	0.001699308229480004	0.0016349650876454156	0.0	0.0	0.0	0.0
SOX/7	0.00032985487692172727	0.00021597892763957523	0.0	0.0	0.0	0.0
SOX/8	0.001003055825377032	0.0017394744542281624	0.0	0.0	0.0	0.0
SPDEF/1	0.002179534676996629	0.0032277977496873484	0.0	0.0	0.0	0.0
SPDEF/2	0.0019677481851170897	0.004272164770049963	0.0	0.0	0.0	0.0
SPI	0.003424757976466208	0.004464659694005629	0.0	0.0	0.0	0.0
SPZ1	0.005025285908426366	0.009242014642061218	0.0	0.0	0.0	0.0
SREBF1	0.003888574517668577	0.004809120869710037	0.0	0.0	0.0	0.0
SRF	0.0016175061037040132	0.002672299269938904	0.0	0.0	0.0	0.0
STAT/1	0.0024953169975288746	0.00296685794183064	0.0	0.0	0.0	0.0
STAT/2	0.008472053154109708	0.009392872085766842	0.0	0.0	0.0	0.0
TATA	0.003779115751894086	0.0074995159743603945	0.0	0.0	0.0	0.0
TBX/1	0.002066255709725507	0.006534942510828017	0.0	0.0	0.0	0.0
TBX/2	0.0028785373816808237	0.0030320615631922775	0.0	0.0	0.0	0.0
TBX/3	0.004067517861870726	0.0059570993232136455	0.0	0.0	0.0	0.0
TBX/4	0.003246864777738545	0.003105972964275085	0.0	0.0	0.0	0.0
TCF/LEF	0.003905270109018727	0.004421478014456972	0.0	0.0	0.0	0.0
TEAD	0.004810920663985061	0.004068214437519922	0.0	0.0	0.0	0.0
TFAP2/1	0.007155842804282128	0.010583777777542531	0.0	0.0	0.0	0.0
TFAP2/2	0.004520677788759625	0.006006641794036373	0.0	0.0	0.0	0.0
TFCP2	0.0012393548744287278	0.001266882613606042	0.0	0.0	0.0	0.0
THAP1	0.0055992263413912014	0.00675085620735265	0.0	0.0	0.0	0.0
YY1	0.00696601210601251	0.009727441583311033	0.0	0.0	0.0	0.0
ZBED1	0.0003791948036686242	0.00044520338757932483	0.0	0.0	0.0	0.0
ZBTB14	0.005320544246261995	0.012132416419530811	0.0	0.0	0.0	0.0
ZBTB48	0.002984212975979922	0.0029119925802666073	0.0	0.0	0.0	0.0
ZBTB49	0.0004092784157918363	0.00042488613376380437	0.0	0.0	0.0	0.0
ZBTB6	0.0034488219831576893	0.006395225624423613	0.0	0.0	0.0	0.0
ZBTB7A	0.005217663223142676	0.008574768314721344	0.0	0.0	0.0	0.0
ZFN121	0.004872539454686268	0.007887507679487347	0.0	0.0	0.0	0.0
ZFX	0.007630745874658935	0.015284417200671464	0.0	0.0	0.0	0.0
ZIC	0.006205837310785936	0.009080405626449845	0.0	0.0	0.0	0.0
ZIC/2	0.007136432742857444	0.006528898963009758	0.0	0.0	0.0	0.0
ZIM3	0.00239804254182629	0.003437607640606278	0.0	0.0	0.0	0.0
ZKSCAN1	0.0016830950789326641	0.001820878760994802	0.0	0.0	0.0	0.0
ZNF134	0.0028106683980919506	0.003555839116648076	0.0	0.0	0.0	0.0
ZNF136	0.0029955374104420514	0.003018307931427621	0.0	0.0	0.0	0.0
ZNF140	0.00041696042006672383	0.0008913013993580738	0.0	0.0	0.0	0.0
ZNF143	0.007316082034740244	0.012142725610564111	0.0	0.0	0.0	0.0
